                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.85763,                0.67331,                 1.0483,                  0.687,                 0.6382,                0.69336,                0.57982,                 1.0487,                 0.8089,                 1.1162,               0.001486,               0.001486,               0.001486
                     88,                0.84483,                0.65298,                 1.0416,                0.68947,                0.63572,                0.69353,                0.57995,                 1.0496,                0.80795,                 1.1168,               0.001387,               0.001387,               0.001387
                     89,                0.84529,                0.64709,                 1.0443,                0.68945,                 0.6371,                0.69436,                 0.5796,                 1.0494,                 0.8066,                 1.1171,               0.001288,               0.001288,               0.001288
                     90,                0.84252,                0.64271,                 1.0406,                0.68926,                0.63999,                 0.6953,                0.58017,                 1.0485,                0.80539,                 1.1172,               0.001189,               0.001189,               0.001189
                     91,                0.83836,                0.63979,                 1.0379,                0.71044,                0.62548,                0.69602,                0.58106,                 1.0491,                0.80484,                 1.1176,                0.00109,                0.00109,                0.00109
                     92,                0.83283,                0.63322,                 1.0395,                0.70191,                0.63328,                0.69683,                0.58175,                 1.0493,                0.80372,                 1.1177,               0.000991,               0.000991,               0.000991
                     93,                0.83157,                0.63127,                 1.0391,                 0.7026,                0.63464,                0.69717,                0.58174,                 1.0485,                0.80294,                 1.1174,               0.000892,               0.000892,               0.000892
                     94,                0.82696,                0.63014,                 1.0326,                0.69983,                0.63511,                0.69733,                0.58137,                 1.0485,                0.80207,                 1.1174,               0.000793,               0.000793,               0.000793
                     95,                0.81941,                0.61532,                  1.031,                0.69613,                0.63848,                0.69757,                0.58224,                 1.0483,                0.80123,                 1.1174,               0.000694,               0.000694,               0.000694
                     96,                0.81687,                0.61577,                 1.0335,                0.69623,                0.63985,                0.69767,                0.58208,                 1.0482,                0.80079,                 1.1175,               0.000595,               0.000595,               0.000595
                     97,                0.81511,                0.60253,                 1.0298,                0.69882,                0.63768,                0.69774,                0.58203,                 1.0475,                0.80002,                 1.1168,               0.000496,               0.000496,               0.000496
                     98,                0.80908,                0.60023,                 1.0281,                0.70082,                0.63854,                0.69812,                0.58235,                 1.0473,                0.79949,                  1.117,               0.000397,               0.000397,               0.000397
                     99,                0.80082,                0.60603,                 1.0296,                0.70383,                 0.6354,                0.69834,                0.58307,                 1.0475,                0.79905,                 1.1172,               0.000298,               0.000298,               0.000298
