                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.75394,                 1.8397,                 1.9228,                0.73285,                0.61133,                0.69414,                0.57686,                0.77671,                 1.5818,                 1.8882,               0.007822,               0.007822,               0.007822
                     46,                0.74909,                 1.8185,                 1.9169,                0.72269,                0.63243,                0.69963,                 0.5858,                0.77166,                 1.5631,                 1.8808,              0.0077725,              0.0077725,              0.0077725
                     47,                0.74852,                 1.8152,                 1.9124,                0.71977,                0.64652,                0.70466,                0.58822,                0.77002,                 1.5496,                 1.8797,               0.007723,               0.007723,               0.007723
                     48,                0.73597,                 1.7802,                 1.9181,                0.75318,                0.62191,                0.70887,                0.59339,                0.76886,                 1.5524,                  1.876,              0.0076735,              0.0076735,              0.0076735
                     49,                0.73978,                 1.7888,                 1.9126,                0.76059,                0.62964,                0.71464,                0.60217,                0.76829,                  1.547,                 1.8772,               0.007624,               0.007624,               0.007624
                     50,                 0.7364,                 1.7418,                 1.9062,                0.75923,                0.62846,                0.71415,                0.60296,                0.76706,                 1.5383,                 1.8775,              0.0075745,              0.0075745,              0.0075745
                     51,                0.73091,                 1.7429,                 1.9007,                0.76053,                0.63817,                0.71749,                0.60514,                0.76623,                 1.5353,                 1.8767,               0.007525,               0.007525,               0.007525
                     52,                0.72792,                 1.7128,                 1.8992,                0.74651,                0.63618,                0.72086,                0.60959,                0.76475,                 1.5153,                 1.8744,              0.0074755,              0.0074755,              0.0074755
                     53,                0.73639,                 1.7267,                 1.9093,                  0.725,                0.65954,                0.72149,                0.60818,                0.76342,                 1.5054,                 1.8688,               0.007426,               0.007426,               0.007426
                     54,                 0.7304,                 1.7231,                 1.9075,                0.73239,                0.65156,                0.72328,                 0.6118,                 0.7611,                 1.5102,                 1.8683,              0.0073765,              0.0073765,              0.0073765
                     55,                 0.7285,                  1.693,                 1.9004,                0.72548,                0.67587,                 0.7324,                0.62092,                0.75688,                 1.4878,                 1.8667,               0.007327,               0.007327,               0.007327
                     56,                0.71772,                 1.6775,                 1.8906,                0.75978,                0.65117,                0.72942,                0.61592,                0.75785,                  1.485,                 1.8689,              0.0072775,              0.0072775,              0.0072775
                     57,                0.71605,                 1.6773,                 1.8858,                0.72092,                0.66761,                0.73453,                0.62489,                0.75596,                 1.4822,                 1.8649,               0.007228,               0.007228,               0.007228
                     58,                0.72138,                 1.6522,                 1.8842,                0.77059,                0.63952,                0.73544,                0.62555,                0.75611,                 1.4684,                 1.8619,              0.0071785,              0.0071785,              0.0071785
                     59,                0.71777,                 1.6345,                 1.8818,                0.75221,                0.65652,                0.73698,                0.62586,                0.75564,                 1.4712,                 1.8653,               0.007129,               0.007129,               0.007129
                     60,                0.71828,                 1.6211,                 1.8835,                0.75341,                0.65546,                0.73932,                0.62618,                0.75508,                 1.4711,                 1.8635,              0.0070795,              0.0070795,              0.0070795
                     61,                0.71688,                 1.6312,                 1.8836,                0.76074,                0.65781,                0.74091,                0.62823,                0.75407,                 1.4625,                 1.8622,                0.00703,                0.00703,                0.00703
                     62,                0.71786,                 1.6161,                 1.8821,                0.76371,                0.65305,                0.74182,                0.63053,                0.75219,                 1.4594,                 1.8611,              0.0069805,              0.0069805,              0.0069805
                     63,                0.70558,                   1.58,                 1.8631,                0.76575,                0.65416,                0.74494,                 0.6321,                0.75124,                 1.4542,                 1.8616,               0.006931,               0.006931,               0.006931
                     64,                0.70744,                  1.577,                 1.8701,                0.78043,                0.64551,                0.74438,                0.63215,                0.75199,                 1.4478,                 1.8623,              0.0068815,              0.0068815,              0.0068815
                     65,                0.71101,                 1.5879,                   1.87,                0.77924,                0.65378,                0.74627,                  0.635,                0.75136,                 1.4428,                 1.8619,               0.006832,               0.006832,               0.006832
                     66,                  0.703,                 1.5418,                 1.8663,                0.77336,                0.65346,                0.74864,                0.63581,                0.75151,                 1.4398,                 1.8618,              0.0067825,              0.0067825,              0.0067825
